model,era,category,r2,mse,mae,train_time
linear,2018,linear,0.9844016441696892,0.0021880433441312077,0.03697845246113848,0.002805948257446289
ridge,2018,linear,0.984401645856083,0.002188043107574043,0.03697844928936347,0.0010399818420410156
elastic_net,2018,linear,0.9792978376594014,0.0029039745606039336,0.042636266120926025,0.002199888229370117
random_forest,2018,ensemble,0.9881977501951104,0.001655548470126685,0.029775205389776512,3.5037147998809814
gradient_boosting,2018,ensemble,0.9916413650617946,0.0011724989313952993,0.026929531157341143,6.391333103179932
extra_trees,2018,ensemble,0.9924360779039934,0.001061021403649091,0.02431745098676365,0.8411390781402588
hist_gradient_boosting,modern,ensemble,0.9910158335845574,0.0012602447169257033,0.02757555176674782,0.46827006340026855
mlp_small,2018,neural,0.9959395208602598,0.0005695795410967347,0.018991876488350604,1.2082750797271729
mlp_medium,2018,neural,0.995952596518252,0.000567745366600977,0.019015292737895474,1.203059196472168
mlp_large,modern,neural,0.9962274078351809,0.0005291964913579927,0.018352332417436452,1.8523578643798828
xgboost,2018,ensemble,0.9912495545122318,0.0012274597538343647,0.027462489784859368,0.12420773506164551
lightgbm,modern,ensemble,0.9911654688447082,0.0012392547844878074,0.027554935333364627,0.2747359275817871
ridge_poly_2,2018,feature_eng,0.9965555008524111,0.00048317358032711784,0.01751019315727695,0.0028989315032958984
ridge_poly_3,2018,feature_eng,0.9965489864870294,0.00048408737624058124,0.01753167239550826,0.014313936233520508
